name,url,postal_code,city
Boekhandel Stumpel Alkmaar,https://www.stumpel.nl,1811 JG,Alkmaar
Van der Meulen's Boekhandel,https://libris.nl/vandermeulen,1811 JD,Alkmaar
Boekhandel Stumpel Almere,https://www.stumpel.nl,1315 VH,Almere
Boekhandel Van den Brink,https://libris.nl/vandenbrink,9163 GZ,Ameland
Boekhandel Veenendaal,https://libris.nl/veenendaal,3811 AB,Amersfoort
De Algemene Boekhandel,https://libris.nl/dealgemeneboekhandel,3817 KE,Amersfoort
Boekhandel Libris Venstra,https://www.venstra.nl,1181 ZM,Amstelveen
Twister,https://www.detwister.com,1187 LV,Amstelveen
Athenaeum Boekhandel & Nieuwscentrum,https://athenaeumscheltema.nl/athenaeum,1012 XA,Amsterdam
Athenaeum Boekhandel Zuidoost,https://athenaeumscheltema.nl/zuidoost,1102 ML,Amsterdam
Boekhandel het Martyrium,https://athenaeumscheltema.nl/martyrium,1071 BH,Amsterdam
Boekhandel Hoogstins,https://www.hoogstins.nl,1053 DL,Amsterdam
Boekhandel Jimmink,https://boekhandeljimmink.shop,1078 NL,Amsterdam
Boekhandel Mulder,https://libris.nl/boekhandel-mulder,1071 JH,Amsterdam
Boekhandel Scheltema,https://athenaeumscheltema.nl/scheltema,1012 KK,Amsterdam
Boekhandel van Noord,https://libris.nl/boekhandelvannoord,1025 EW,Amsterdam
Boekhandel Van Rossum,https://athenaeumscheltema.nl,1077 JH,Amsterdam
Boekholt A la Carte,https://libris.nl/boekholtboekhandels,1011 HB,Amsterdam
De Amsterdamse Boekhandel,https://libris.nl/de-amsterdamse-boekhandel,1081 AC,Amsterdam
De Dolfijn,https://libris.nl/boekholtboekhandels,1013 JG,Amsterdam
IJBURG BOEKEN,https://libris.nl/ijburgboeken,1087 BS,Amsterdam
Island Boekholt,https://libris.nl/boekholtboekhandels,1015 LT,Amsterdam
Pantheon Boekholt,https://libris.nl/boekholtboekhandels,1011 HB,Amsterdam
Relay Amsterdam CS IJ-passage,https://libris.nl/relay,1012 AB,Amsterdam
Relay Amsterdam CS Middentunnel,https://libris.nl/relay,1012 AB,Amsterdam
VU Boekhandel,https://www.vuboekhandel.nl,1081 HV,Amsterdam
Stad Leest,https://libris.nl/antwerpen-stadleest,2000,Antwerpen
Nawijn & Polak,https://libris.nl/nawijn-polak,7311 LR,Apeldoorn
Primera BLZ Westra Kerschoten,https://libris.nl/boekhandel-westra,7316 HL,Apeldoorn
Primera BLZ Westra Orden,https://libris.nl/boekhandel-westra,7312 NL,Apeldoorn
Arnhem - Het Colofon,https://www.hetcolofon.nl,6811 EJ,Arnhem
Van der Velde Boeken Assen,https://www.vanderveldeboeken.nl,9401 JL,Assen
Primera Boekhandel Avenhorn,https://libris.nl/boekhandel-avenhorn,1633 DT,Avenhorn
Boekhandel Den Boer,https://libris.nl/denboer,3743 BC,Baarn
Boekhandel Jaspers,https://libris.nl/boekhandeljaspers,1171 CH,Badhoevedorp
Primera boekhandel De Gele Klap,https://libris.nl/boekhandel-de-gele-klap,9781 AA,Bedum
Van den Heuvel Boek en Kantoor,https://libris.nl/vdhboekenkantoor,5741 CP,Beek en Donk
Het Logboek,https://libris.nl/hetlogboek,9411 KL,Beilen
Boekhandel Thomas,https://libris.nl/thomas,1861 GA,Bergen
Boekhandel Quist,https://libris.nl/quistboeken,4611 NP,Bergen op Zoom
Kantoorboekhandel Van Atten (Berkel en Rodenrijs),https://libris.nl/vanattenboek,2651 CE,Berkel en Rodenrijs
Boek- en Kantoorboekhandel Mieke Wijgergangs,https://libris.nl/miekewijgergangs,5258 AX,Berlicum
De Bilthovense Boekhandel,https://www.bilthovenseboekhandel.nl,3722 AJ,Bilthoven
Blaricumsche Boekhandel,https://libris.nl/blaricumscheboekhandel,1261 AW,Blaricum
Boekhuis Stumpel (Bolsward),https://www.stumpel.nl,8701 KH,Bolsward
Libris Buitelaar Breda,https://libris.nl/librisbuitelaar,4811 XL,Breda
Relay Breda,https://libris.nl/relay,4811 BN,Breda
Van Kemenade & Hollaers (Ginnekenweg),https://libris.nl/vankemenade-hollaers,4818 JG,Breda
Boekhandel Breskens,https://libris.nl/boekhandelbreskens,4511 AP,Breskens
Boek en Kantoor Marinus van Kralingen,https://libris.nl/vankralingen,3621 AR,Breukelen
Boekhandel Bosman Brummen - Primera XL,https://libris.nl/boekhandel-xl-brummen,6971 AB,Brummen
Van Ravenswaay books & more,https://libris.nl/ravenswaay,3981 EP,Bunnik
Boekhandel Los,https://libris.nl/los,1404 CM,Bussum
Boekhandel Derde Druk,https://libris.nl/derdedruk,2903 AD,Capelle aan den IJssel
Kantoorboekhandel Laan,https://libris.nl/laan,1901 EP,Castricum
Boekhandel Tomey,https://libris.nl/boekhandeltomey,4101 BX,Culemborg
Kantoor & Boekhandel KEES (Mereveldplein),https://libris.nl/visscher,3454 CK,De Meern
MultiMedia Shop,https://libris.nl/multimedia-shop,7701 GL,Dedemsvaart
Boekhandel Kempers,https://libris.nl/boekhandelkempers,2624 ET,Delft
Adr. Heinen,https://www.heinen.nl,5211 KD,Den Bosch
Couvée-Benoordenhaeghe Boek & Kantoor,https://libris.nl/boekhandel-denhaag,2596 ES,Den Haag
De Vries Van Stockum (Den Haag),https://libris.nl/devriesvanstockum-boeken,2511 BS,Den Haag
Relay Den Haag,https://libris.nl/relay,2592 AA,Den Haag
KopGroep Bibliotheken (afhaalpunt Boekhandel Plukker),https://boekhandelplukker.nl/,1781 BB,Den Helder
Boekhandel Praamstra,https://libris.nl/boekhandelpraamstra,7411 KG,Deventer
Boekhandel Didam,https://libris.nl/boekhandeldidam,6942 BD,Didam
Boek en Buro Nieuwenhuis,https://libris.nl/boek-en-buro,6981 CN,Doesburg
Raadgeep & Berrevoets,https://libris.nl/raadgeepenberrevoets,7001 AH,Doetinchem
Van der Velde Boeken Dokkum,https://www.vanderveldeboeken.nl,9101 KH,Dokkum
Boekhandel All you can give,https://libris.nl/allyoucangive,6865 GC,Doorwerth
Vos & Van der Leer (Van Eesterenplein),https://libris.nl/vos-vanderleer,3315 KV,Dordrecht
Vos & Van der Leer (Visstraat),https://libris.nl/vos-vanderleer,3311 KX,Dordrecht
Van der Velde Boeken Drachten,https://www.vanderveldeboeken.nl,9203 CZ,Drachten
Boekhandel Jacques Baas,https://libris.nl/boekhandeljacquesbaas,3971 GN,Driebergen-Rijsenburg
Boek- en Kantoorvakhandel Sikkers,https://libris.nl/sikkers,5151 BP,Drunen
Boekwinkel 't Pakhuys,https://libris.nl/pakhuysboeken,1135 AP,Edam
Boek en Buro Ede,https://libris.nl/boek-en-buro,6711 AM,Ede
Boekhandel Hendriks,https://libris.nl/boekhandelhendriks,6961 CW,Eerbeek
Boekhandel Dekker & Dekker,https://libris.nl/boekhandeldekker,1931 AK,Egmond aan Zee
Boekhandel Gellekink,https://libris.nl/gellekink,7151 AG,Eibergen
Boekhandel Van Grinsven (Eindhoven),https://libris.nl/vangrinsven,5643 AS,Eindhoven
Boekhandel Van Piere,https://www.vanpiere.nl,5611 AM,Eindhoven
Relay Eindhoven Airport,https://libris.nl/relay,5657 EA,Eindhoven
Elburger Boekhandel,https://libris.nl/elburgerboekhandel,8081 ER,Elburg
Boekhandel Vermeer,https://libris.nl/boekhandelvermeer,7811 AL,Emmen
Boekhandel Stumpel Enkhuizen,https://www.stumpel.nl,1601 AM,Enkhuizen
Boekwinkel De Grote Beer,https://libris.nl/boekwinkeldegrotebeer,8801 LV,Franeker
Boekhandel Van Grinsven (Geldrop),https://libris.nl/vangrinsven,5664 HE,Geldrop
Paard van Troje Gent,https://libris.nl/gent-paardvantroje,9000,Gent
Miek-Kado Boek-Kadoshop,https://libris.nl/miek-kado,3381 AH,Giessenburg
De Koperen Tuin,https://libris.nl/koperentuin,4461 KA,Goes
Het Paard van Troje,https://libris.nl/paardvantroje,4461 JP,Goes
Blz. Boekhandel Buitelaar,https://libris.nl/buitelaar,5051 NP,Goirle
Boekhandel Struik,https://libris.nl/boekhandelstruik,7471 BL,Goor
De Boekenkist,https://libris.nl/de-boekenkist,4201 KA,Gorinchem
Planteyn Boeken,https://libris.nl/planteyn,8401 DE,Gorredijk
Kantoorboekhandel Bechtle,https://www.debechtle.nl,7213 CX,Gorssel
Paagman Gouda,https://www.verkaaikboeken.nl,2801 KE,Gouda
Primera Boekhandel Beren,https://libris.nl/boekhandel-beren,9714 DW,Groningen
